i,j,mocoeff
9,10,  0.000000000000e+00
9,11,  0.000000000000e+00
9,12,  0.000000000000e+00
9,13,  0.000000000000e+00
9,14,  0.000000000000e+00
9,15,  0.000000000000e+00
9,16,  0.000000000000e+00
9,17,  0.000000000000e+00
9,18, -1.233210583704e+00
9,19,  0.000000000000e+00
9,20,  0.000000000000e+00
9,21,  0.000000000000e+00
9,22,  0.000000000000e+00
9,23,  0.000000000000e+00
9,24,  0.000000000000e+00
9,25,  0.000000000000e+00
9,26,  0.000000000000e+00
10,0,  0.000000000000e+00
10,1,  0.000000000000e+00
10,2,  0.000000000000e+00
10,3, -6.524640774517e-05
10,4,  0.000000000000e+00
10,5,  0.000000000000e+00
10,6,  0.000000000000e+00
10,7, -5.801580561662e-01
10,8,  0.000000000000e+00
10,9,  0.000000000000e+00
10,10,  1.173403659982e-01
10,11,  0.000000000000e+00
10,12,  0.000000000000e+00
10,13,  0.000000000000e+00
10,14,  0.000000000000e+00
10,15,  0.000000000000e+00
10,16,  0.000000000000e+00
10,17,  0.000000000000e+00
10,18,  0.000000000000e+00
10,19, -1.233210583705e+00
10,20,  0.000000000000e+00
10,21,  0.000000000000e+00
10,22,  0.000000000000e+00
10,23,  0.000000000000e+00
10,24,  0.000000000000e+00
10,25,  0.000000000000e+00
10,26,  0.000000000000e+00
11,0,  0.000000000000e+00
11,1,  0.000000000000e+00
11,2,  0.000000000000e+00
11,3,  0.000000000000e+00
11,4,  2.368366680839e-04
11,5,  0.000000000000e+00
11,6,  0.000000000000e+00
11,7,  0.000000000000e+00
11,8, -5.148273576610e-01
11,9,  0.000000000000e+00
11,10,  0.000000000000e+00
11,11,  5.275841718120e-01
11,12,  0.000000000000e+00
11,13,  0.000000000000e+00
11,14,  0.000000000000e+00
11,15,  0.000000000000e+00
11,16,  0.000000000000e+00
11,17,  0.000000000000e+00
11,18,  0.000000000000e+00
11,19,  0.000000000000e+00
11,20,  1.555777202665e+00
11,21,  0.000000000000e+00
11,22,  0.000000000000e+00
11,23,  0.000000000000e+00
11,24,  0.000000000000e+00
11,25,  0.000000000000e+00
11,26,  0.000000000000e+00
12,0,  0.000000000000e+00
12,1,  0.000000000000e+00
12,2,  2.368385882088e-04
12,3,  0.000000000000e+00
12,4,  0.000000000000e+00
12,5,  0.000000000000e+00
12,6, -5.148274263092e-01
12,7,  0.000000000000e+00
12,8,  0.000000000000e+00
12,9,  5.275841834838e-01
12,10,  0.000000000000e+00
12,11,  0.000000000000e+00
12,12,  0.000000000000e+00
12,13,  0.000000000000e+00
12,14,  0.000000000000e+00
